textid	register	transl-id	status	study	studyear	experience	age	nativelang	gender
abcnews.306755	news	8	stud	MA	1	6	23	RU	f
abcnews.306755	news	wmt	prof	NA	NA	NA	NA	NA	NA
abcnews.306758	news	8	stud	MA	1	6	23	RU	f
abcnews.306758	news	wmt	prof	NA	NA	NA	NA	NA	NA
abcnews.306764	news	8	stud	MA	1	6	23	RU	f
abcnews.306764	news	wmt	prof	NA	NA	NA	NA	NA	NA
abcnews.306776	news	8	stud	MA	1	6	23	RU	f
abcnews.306776	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381647	news	8	stud	MA	1	6	23	RU	f
bbc.381647	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381669	news	8	stud	MA	1	6	23	RU	f
bbc.381669	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381679	news	8	stud	MA	1	6	23	RU	f
bbc.381679	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381692	news	8	stud	MA	1	6	23	RU	f
bbc.381692	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381694	news	2	stud	BA	4	4	21	RU	f
bbc.381694	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381701	news	2	stud	BA	4	4	21	RU	f
bbc.381701	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381705	news	2	stud	BA	4	4	21	RU	f
bbc.381705	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381735	news	2	stud	BA	4	4	21	RU	f
bbc.381735	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381736	news	2	stud	BA	4	4	21	RU	f
bbc.381736	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381760	news	2	stud	BA	4	4	21	RU	f
bbc.381760	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381765	news	2	stud	BA	4	4	21	RU	f
bbc.381765	news	wmt	prof	NA	NA	NA	NA	NA	NA
bbc.381780	news	2	stud	BA	4	4	21	RU	f
bbc.381780	news	wmt	prof	NA	NA	NA	NA	NA	NA
cbsnews.248387	news	2	stud	BA	4	4	21	RU	f
cbsnews.248387	news	wmt	prof	NA	NA	NA	NA	NA	NA
cbsnews.248394	news	15	stud	BA	4	3	21	RU	f
cbsnews.248394	news	wmt	prof	NA	NA	NA	NA	NA	NA
