reviews/fi/mt/conllu/review_beauty_12_4_MT-FI.conllu	0.773	0.614	0.250	0.441	44
reviews/fi/mt/conllu/review_beauty_14_5_MT-FI.conllu	0.755	0.755	0.191	0.373	47
reviews/fi/mt/conllu/review_beauty_17_5_MT-FI.conllu	0.674	0.630	0.196	0.407	46
reviews/fi/mt/conllu/review_beauty_18_5_MT-FI.conllu	0.795	0.773	0.273	0.373	44
reviews/fi/mt/conllu/review_beauty_21_5_MT-FI.conllu	0.784	0.706	0.176	0.500	51
reviews/fi/mt/conllu/review_beauty_25_5_MT-FI.conllu	0.822	0.711	0.222	0.435	45
reviews/fi/mt/conllu/review_beauty_53_1_MT-FI.conllu	0.820	0.753	0.136	0.380	88
reviews/fi/mt/conllu/review_beauty_58_1_MT-FI.conllu	0.662	0.569	0.154	0.390	65
reviews/fi/mt/conllu/review_beauty_62_1_MT-FI.conllu	0.725	0.686	0.235	0.449	51
reviews/fi/mt/conllu/review_beauty_6_5_MT-FI.conllu	0.691	0.647	0.164	0.307	67
reviews/fi/mt/conllu/review_beauty_82_1_MT-FI.conllu	0.796	0.685	0.167	0.425	54
reviews/fi/mt/conllu/review_beauty_87_1_MT-FI.conllu	0.865	0.750	0.196	0.562	51
reviews/fi/mt/conllu/review_beauty_88_1_MT-FI.conllu	0.676	0.563	0.155	0.400	71
reviews/fi/mt/conllu/review_beauty_93_1_MT-FI.conllu	0.771	0.700	0.162	0.446	68
reviews/fi/mt/conllu/review_books_11_5_MT-FI.conllu	0.800	0.760	0.200	0.400	50
reviews/fi/mt/conllu/review_books_14_4_MT-FI.conllu	0.821	0.821	0.205	0.500	39
reviews/fi/mt/conllu/review_books_16_1_MT-FI.conllu	0.875	0.729	0.188	0.508	48
reviews/fi/mt/conllu/review_books_172_1_MT-FI.conllu	0.770	0.689	0.131	0.373	61
reviews/fi/mt/conllu/review_books_18_4_MT-FI.conllu	0.792	0.653	0.139	0.351	72
reviews/fi/mt/conllu/review_books_19_4_MT-FI.conllu	0.893	0.800	0.173	0.591	75
reviews/fi/mt/conllu/review_books_1_4_MT-FI.conllu	0.932	0.841	0.227	0.593	44
reviews/fi/mt/conllu/review_books_233_1_MT-FI.conllu	0.833	0.722	0.204	0.544	54
reviews/fi/mt/conllu/review_books_268_2_MT-FI.conllu	0.747	0.653	0.133	0.356	75
reviews/fi/mt/conllu/review_books_302_2_MT-FI.conllu	0.797	0.709	0.128	0.418	78
reviews/fi/mt/conllu/review_books_311_1_MT-FI.conllu	0.836	0.761	0.164	0.488	67
reviews/fi/mt/conllu/review_books_5_5_MT-FI.conllu	0.815	0.648	0.204	0.486	54
reviews/fi/mt/conllu/review_books_77_2_MT-FI.conllu	0.733	0.583	0.150	0.385	60
reviews/fi/mt/conllu/review_books_8_4_MT-FI.conllu	0.778	0.667	0.175	0.468	63
reviews/fi/mt/conllu/review_cd+vinyl_107_2_MT-FI.conllu	0.824	0.745	0.216	0.571	51
reviews/fi/mt/conllu/review_cd+vinyl_110_1_MT-FI.conllu	0.902	0.804	0.216	0.538	51
reviews/fi/mt/conllu/review_cd+vinyl_113_2_MT-FI.conllu	0.872	0.846	0.231	0.373	39
reviews/fi/mt/conllu/review_cd+vinyl_12_5_MT-FI.conllu	0.896	0.833	0.239	0.517	46
reviews/fi/mt/conllu/review_cd+vinyl_152_2_MT-FI.conllu	0.865	0.725	0.216	0.485	51
reviews/fi/mt/conllu/review_cd+vinyl_156_2_MT-FI.conllu	0.865	0.725	0.216	0.448	51
reviews/fi/mt/conllu/review_cd+vinyl_159_2_MT-FI.conllu	0.800	0.718	0.143	0.431	84
reviews/fi/mt/conllu/review_cd+vinyl_164_1_MT-FI.conllu	0.854	0.771	0.188	0.453	48
reviews/fi/mt/conllu/review_cd+vinyl_16_5_MT-FI.conllu	0.713	0.625	0.150	0.315	80
reviews/fi/mt/conllu/review_cd+vinyl_17_5_MT-FI.conllu	0.800	0.691	0.200	0.432	55
reviews/fi/mt/conllu/review_cd+vinyl_23_5_MT-FI.conllu	0.750	0.611	0.139	0.375	72
reviews/fi/mt/conllu/review_cd+vinyl_25_5_MT-FI.conllu	0.725	0.608	0.157	0.391	51
reviews/fi/mt/conllu/review_cd+vinyl_7_5_MT-FI.conllu	0.792	0.712	0.212	0.433	52
reviews/fi/mt/conllu/review_cd+vinyl_8_5_MT-FI.conllu	0.774	0.642	0.170	0.365	53
reviews/fi/mt/conllu/review_cell-phones+accessories_102_1_MT-FI.conllu	0.729	0.612	0.119	0.396	84
reviews/fi/mt/conllu/review_cell-phones+accessories_105_2_MT-FI.conllu	0.842	0.807	0.196	0.423	56
reviews/fi/mt/conllu/review_cell-phones+accessories_117_1_MT-FI.conllu	0.760	0.700	0.220	0.403	50
reviews/fi/mt/conllu/review_cell-phones+accessories_127_1_MT-FI.conllu	0.805	0.707	0.220	0.418	41
reviews/fi/mt/conllu/review_cell-phones+accessories_12_5_MT-FI.conllu	0.741	0.690	0.172	0.438	58
reviews/fi/mt/conllu/review_cell-phones+accessories_132_1_MT-FI.conllu	0.784	0.686	0.216	0.414	51
reviews/fi/mt/conllu/review_cell-phones+accessories_13_5_MT-FI.conllu	0.788	0.712	0.212	0.375	52
reviews/fi/mt/conllu/review_cell-phones+accessories_25_4_MT-FI.conllu	0.754	0.639	0.148	0.386	61
reviews/fi/mt/conllu/review_cell-phones+accessories_28_4_MT-FI.conllu	0.667	0.631	0.143	0.231	84
reviews/fi/mt/conllu/review_cell-phones+accessories_40_4_MT-FI.conllu	0.847	0.810	0.211	0.429	57
